Experience
achieved projected sales goal monthly.
excel (less than 1 year)
ms. word (less than 1 year)
foxpro (less than 1 year)
database (2 years)
excel (less than 1 year)
ms word (less than 1. year)
word and excel and besic (3 years).
excel (2 years)
word (2 years).
database (2 years)
excel (4 years).
c++ (less than 1 year)
excel (less than 1 year)
ms word (less than 1 year)
word (less than 1 year).
c++ (less than 1 year)
2 crores in just a span of a month.. .
excel (less than 1 year)
ms word (less than 1 year)
excel (less than 1 year)
ms excel (less than 1 year)
self motivated (less than 1 year)
over 13 plus years of experience in mep systems.
excel (less than 1 year)
ms. word (less than 1 year)
excel (less than 1 year)
ms word (less than 1 year)
word (less than 1 year).
excel (less than 1 year)
microsoft excel (less than 1 year)
microsoft word (less than 1 year).
excel (less than 1 year)
excel (less than 1 year)
ms word (less than 1 year)
word (less than 1 year).
excel (less than 1 year)
microsoft word (less than 1 year)
database (less than 1 year)
database management (less than 1 year)
database management system (less than 1 year)
java (less than 1 year).
database (less than 1 year)
html (less than 1 year)
access (less than 1 year)
cobol (3 years)
jcl (3 years)
having 3.5 years of it experience in sql data...
having 3.5 years of it experience in sql data...
database (3 years)
sql (3 years)
access (less than 1 year)
java (1 year)
c++ (less than 1 year)
css (less than 1 year).
creo (less than 1 year)
python (less than 1 year)
database (less than 1 year)
java (less than 1 year)
jira (less than 1. year)
css (less than 1 year)
excel (less than 1 year)
ms excel (less than 1 year)
java (3 years)
junit (2 years)
access (less than 1 year)
css (less than 1 year)
database (less than 1 year).
oracle 5 years 2 month     core java developer.
python (2 years)
java (1 year)
css (1 year)
html (1 year)
mysql (1 year)
javascript (less than 1 year)
math and c++ for 4 years.. .
database (3 years)
python (3 years)
sql (3 years)
xml (3 years).
sap abap (2 years).
tcl (4 years)
python (2 years).
abap (2 years)
c++ (less than 1 year)
xml (3 years).
java (3 years)
mysql (3 years)
python (6 years).
chef (1 year)
c++ (less than 1 year)
ms excel (2 years)
ms word (2 years)
database (less than 1 year)
sql (less than 1 year)
java (3 years)
cobol (4 years)
cics (4. years)
rexx (4 years).
html (less than 1 year)
sql (less than 1 year)
java (less than 1 year)
database management (less than 1 year).
attended a three-day workshop on c and c++ pr...
attended a one-day workshop on java and hardw...
java (6 years)
abap (less than 1 year)
access (less than 1. year).
excel (less than 1 year)
ms excel (less than 1 year)
excel (less than 1 year)
ms word (less than 1 year)
word (less than 1 year).
excel (3 years)
html (less than 1 year)
process by 70  in a span of 3 months..
process by 70  in a span of 3 months..
excel (less than 1 year)
word (less than 1 year).
in span of one year.
access (less than 1 year)
excel (less than 1 year)
self motivated (less than 1 year).
excel (less than 1 year)
ms word (less than 1 year)
excel (less than 1 year)
excel 2003 (less than 1 year)
microsoft excel (less than 1. year)
excel (less than 1 year)
ms excel (less than 1 year)
ms. word (less than 1 year)
excel avanc   (9 years)
java (less than 1 year)
java (less than 1 year)
corporate tie ups for yearly subscription and...
tcl (4 years)
python (2 years).
c++ (less than 1 year)
css (less than 1 year).
c++ (less than 1 year)
c++ (less than 1 year)
java (less than 1 year)
excel (less than 1 year)
.net (less than 1 year)
database (less than 1 year)
sql (less than 1 year).
database (3 years)
core java (1 year).
python (2 years)
sql server (3 years)
javascript (6. years)
vba (2 years)
word and excel and besic (3 years).
excel (10+ years)
ms excel (10+ years).
excel (less than 1 year)
ms. word (less than 1 year)
self motivated (less than 1 year).
c++ (less than 1 year)
c++ (less than 1 year)
worked 9 months in max new york life insuranc...
c++ (3 years)
